Name,Path,Size,Extension,Risk Level,Score,Reasons
crack_tool.exe,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\crack_tool.exe,13,.exe,High,7,Extension dangereuse: .exe; Motif malveillant détecté: crack; Modifié récemment (0.0h)
data.csv,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\data.csv,20,.csv,Low,1,Modifié récemment (0.0h)
document.txt,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\document.txt,28,.txt,Low,1,Modifié récemment (0.0h)
eicar.txt,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\eicar.txt,68,.txt,Low,1,Modifié récemment (0.0h)
image.jpg,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\image.jpg,18,.jpg,Low,1,Modifié récemment (0.0h)
keylogger.js,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\keylogger.js,44,.js,High,7,Extension dangereuse: .js; Motif malveillant détecté: keylog; Modifié récemment (0.0h)
program.exe,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\program.exe,15,.exe,Medium,4,Extension dangereuse: .exe; Modifié récemment (0.0h)
suspicious.py,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\suspicious.py,32,.py,Medium,3,Extension suspecte: .py; Modifié récemment (0.0h)
virus.bat,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\virus.bat,20,.bat,High,7,Extension dangereuse: .bat; Motif malveillant détecté: virus; Modifié récemment (0.0h)
hidden.exe,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\nested\hidden.exe,17,.exe,Medium,4,Extension dangereuse: .exe; Modifié récemment (0.0h)
